id,title,author,genre,year_published,average_rating
1,Right-sized maximized framework,Phillip Montgomery,Romance,1930,1.4
2,Cross-platform foreground structure,Melissa Munoz,Non-Fiction,1975,4.2
3,Enterprise-wide bifurcated budgetary management,Glenn Brooks,Science Fiction,2014,2.9
4,Function-based bifurcated functionalities,Anna Higgins,Science Fiction,1951,4.1
5,Automated optimal complexity,Tiffany Ferguson,Non-Fiction,1951,4.7
6,Grass-roots solution-oriented throughput,David Hernandez,Fantasy,1974,2.1
7,Digitized 5thgeneration function,Richard Wells,Non-Fiction,1989,3.0
8,Assimilated intangible pricing structure,John Davis,Science Fiction,1958,2.4
9,Function-based homogeneous capacity,Jonathan Sims,Fantasy,1958,2.9
10,Horizontal stable standardization,Chris Chambers,Fantasy,1997,1.3
11,Switchable composite firmware,Warren Clark,Mystery,1927,2.5
12,Decentralized disintermediate groupware,Samuel Hill,Science Fiction,1997,2.0
13,Upgradable bottom-line installation,Charles Hernandez,Mystery,2017,3.8
14,Decentralized mobile Internet solution,John Hammond,Romance,2014,3.9
15,Object-based secondary forecast,Jeffery Williams,Science Fiction,1972,4.4
16,Horizontal encompassing infrastructure,Lisa Pruitt,Romance,2003,4.6
17,Mandatory human-resource function,Zachary Williams,Science Fiction,1965,1.8
18,Future-proofed didactic hardware,Kari Ellis,Science Fiction,1908,2.6
19,Optimized 24hour solution,Diane Sandoval,Science Fiction,2021,1.0
20,Focused logistical application,Dylan Harris,Romance,1971,2.4
21,Enhanced impactful neural-net,Scott King,Fantasy,1908,4.0
22,Cloned analyzing intranet,Leslie Ramos,Mystery,1909,1.2
23,Synergized composite initiative,Cory Tucker,Mystery,1981,1.2
24,Object-based systemic analyzer,Gary Ruiz,Science Fiction,1932,2.9
25,Reverse-engineered mobile capability,Alex Williams,Science Fiction,1969,2.0
26,Quality-focused 5thgeneration success,Kathryn Martinez,Science Fiction,1910,5.0
27,Cloned intermediate methodology,Gregory Keller,Fantasy,1967,3.5
28,Phased maximized adapter,William Huerta,Romance,1943,1.3
29,Seamless 4thgeneration flexibility,Lisa Delgado,Science Fiction,2006,1.4
30,Quality-focused actuating array,Christopher Grant,Non-Fiction,1904,2.1
31,Automated neutral protocol,Michele Harris,Non-Fiction,1961,1.8
32,Extended optimizing archive,Nicholas Mckenzie,Mystery,2019,3.3
33,Monitored stable capability,Dale Wilkinson,Fantasy,1902,5.0
34,Intuitive optimizing toolset,Logan Mejia,Mystery,2001,3.4
35,Profound attitude-oriented customer loyalty,Natalie Gay,Science Fiction,1964,1.3
36,Intuitive 3rdgeneration instruction set,Melinda Williams,Romance,1940,1.9
37,Face-to-face actuating collaboration,Richard Alvarado,Mystery,2021,3.0
38,Future-proofed analyzing product,Emily Casey,Fantasy,1908,1.2
39,Networked explicit ability,Anthony Blair,Non-Fiction,1955,3.7
40,Down-sized coherent help-desk,Mr. Samuel Ballard,Science Fiction,2022,3.2
41,Extended radical orchestration,Alexis Bryant,Science Fiction,1938,2.3
42,Function-based contextually-based protocol,Cynthia Ayala DDS,Science Fiction,2018,1.3
43,Visionary hybrid hierarchy,Patricia Dickerson,Mystery,1944,1.5
44,Integrated global project,Kelly Branch,Mystery,1941,3.5
45,Self-enabling hybrid open system,Nancy Walker,Fantasy,1972,3.2
46,Down-sized next generation protocol,Dawn Garcia,Fantasy,1942,2.3
47,Operative executive help-desk,Audrey Williams,Fantasy,2017,4.4
48,Digitized local service-desk,Kyle Lopez,Science Fiction,2013,1.6
49,Advanced solution-oriented attitude,Norman Kim,Mystery,1945,2.7
50,Managed disintermediate policy,Adam Conley,Non-Fiction,1958,1.7
51,Virtual analyzing challenge,Rachel Gomez,Romance,1992,3.9
52,De-engineered mobile infrastructure,Jacob Willis,Non-Fiction,2012,2.5
53,Public-key analyzing help-desk,Brandon Mitchell,Fantasy,1993,2.7
54,Integrated 24/7 hub,Anthony Braun,Romance,1915,4.5
55,Customer-focused explicit project,Stacy Williamson,Mystery,1928,2.3
56,Reverse-engineered non-volatile product,Carlos Hernandez,Romance,1921,3.1
57,Self-enabling maximized parallelism,Lisa York,Non-Fiction,1981,3.5
58,Profit-focused context-sensitive workforce,Tracy Evans,Science Fiction,1985,4.8
59,Universal methodical initiative,Felicia Brooks,Fantasy,1901,1.6
60,Intuitive zero-defect utilization,Benjamin Nelson,Fantasy,1930,2.9
61,Synergized multi-tasking data-warehouse,Paul Soto,Fantasy,1984,3.6
62,Optional bi-directional website,Maxwell Butler,Romance,1922,4.6
63,Multi-lateral real-time benchmark,Desiree Hancock,Romance,1911,1.2
64,De-engineered radical matrices,Nicole Rivera,Mystery,1909,2.5
65,Multi-tiered exuding matrix,Carol Rogers,Romance,1982,5.0
66,Adaptive dynamic standardization,Dana Simpson,Fantasy,1916,2.8
67,Decentralized asynchronous contingency,Perry Miller,Romance,1995,1.9
68,Ameliorated leadingedge flexibility,Jennifer Santiago,Romance,1950,3.8
69,Re-engineered radical moderator,Steven Moore,Science Fiction,1979,4.5
